time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	
1.125558043157974453e+02 8.335544208746550510e+01 9.543386897759488363e+01 1.174669613924751417e+02 7.989105699950292205e+01 9.525934684469960700e+01
9.943770605856960287e+01 9.384327103074141974e+01 9.893616897761833684e+01 8.411381001618943287e+01 1.073311165393636770e+02 1.014125520232620232e+02
9.376696750495455035e+01 9.458538087622611101e+01 9.887738098080446036e+01 9.546194876097034410e+01 1.092664157734985082e+02 9.303722234860957485e+01
9.229142965957686329e+01 8.799632524039810733e+01 1.005998941904297510e+02 1.043178754881106727e+02 9.749022227654079131e+01 1.138740588903540640e+02
9.409259303303949196e+01 9.820551838291238766e+01 1.021623241432569955e+02 1.187157915273904223e+02 9.980135010946673901e+01 1.055231311769335605e+02
1.187014080357542269e+02 1.020593340108987803e+02 9.629233658809191354e+01 1.173556407046501562e+02 1.018756066522353194e+02 1.020833420597937362e+02
1.036092113438630520e+02 9.548586071038812406e+01 8.852790960405457099e+01 9.967036333616164256e+01 9.932733080729146025e+01 1.105276287488001685e+02
1.043811356096516221e+02 1.047922091551209576e+02 1.047595718671748841e+02 1.000411818106721284e+02 9.200532347228045182e+01 1.022871188549473658e+02
8.962022589787471816e+01 1.116961410593074788e+02 1.068400016465436693e+02 1.062050966357526676e+02 8.100024220984687418e+01 1.134703694283836910e+02
1.019867483087064386e+02 9.154199034970716298e+01 1.108684474301152960e+02 1.159988801879346596e+02 9.344662310842319641e+01 9.620507303105097208e+01
9.660390272369693321e+01 1.029619879683963291e+02 1.169820438967084897e+02 1.200119637322808046e+02 1.260363029442251275e+02 9.956654003093856886e+01
9.961098228627889739e+01 1.059759958265581190e+02 1.187754858935254276e+02 1.100066511508506579e+02 1.007472623602444628e+02 9.705152229417967646e+01
1.029616519236844567e+02 1.089752716568685571e+02 1.263556090835742509e+02 1.104854034790737529e+02 1.207925838254635380e+02 9.927917627256454125e+01
1.148775323156488639e+02 1.048297621889998510e+02 1.252175622130291401e+02 1.140381316768041557e+02 1.185072629367831922e+02 9.723233590535762971e+01
1.131482650879987091e+02 1.051324376480349656e+02 1.010889959180002222e+02 1.102202895064946802e+02 8.992518227106950235e+01 8.867878921603410447e+01
1.163475351240059013e+02 9.359875219751474162e+01 9.647699659410000095e+01 1.064452085163497088e+02 9.244142960698877687e+01 9.085016628525860938e+01
1.162418163648548841e+02 9.026976494717263222e+01 9.776862885114147161e+01 1.046590993381054773e+02 9.050633390376697207e+01 9.052911974274181262e+01
9.992281223934710965e+01 8.772847006354781740e+01 8.471687912527379183e+01 1.049273837754518723e+02 1.072614716051476336e+02 1.013581908093136974e+02
1.114670502768182132e+02 1.094897489035221270e+02 8.788725775567982623e+01 8.619796754999640598e+01 9.508773733564422059e+01 1.011767444633243969e+02
1.100876954646532653e+02 9.207167547581421729e+01 9.864949895548562608e+01 9.489769453262812249e+01 9.893154717693040823e+01 1.131994337481708470e+02
8.333344498626378538e+01 9.462122933777187939e+01 1.042685919317526242e+02 1.000513881508994700e+02 8.494489272891964049e+01 1.147463155421479826e+02
1.016332038061079572e+02 1.277271649808069469e+02 1.162872626921103176e+02 9.675412060556584493e+01 9.431315234101620604e+01 1.138536389863783569e+02
8.997270861487700699e+01 9.263440244033894544e+01 1.119260479249016811e+02 1.015080252172836737e+02 8.571549353279283423e+01 1.184145005354402400e+02
1.047594496153957948e+02 9.641108650444411410e+01 1.125540312057482737e+02 1.029560598371605096e+02 7.529150403631854260e+01 8.946811927135509279e+01
9.340743329043203858e+01 9.148794586014990671e+01 1.130166692768714114e+02 1.062732511284716566e+02 7.365988289661402177e+01 1.059908610474514603e+02
1.022392654238792318e+02 9.662312333735600589e+01 9.825908626690429060e+01 9.983781165089320098e+01 1.010304552764866060e+02 1.059373191712158189e+02
9.889766112657869712e+01 1.021084655544950408e+02 9.103790445882127358e+01 9.994615772208253190e+01 9.780274917768332443e+01 9.394817255232922548e+01
9.353378101733201788e+01 9.172302841449732114e+01 9.022601469384250095e+01 9.418200012993419534e+01 1.005653938669702825e+02 9.721680893875904417e+01
8.930503035051096106e+01 1.219757295891772060e+02 1.171968742611358039e+02 1.129291922731515569e+02 9.086847269811974570e+01 9.796002755295329223e+01
9.665357484563389789e+01 1.108350315810536131e+02 1.091615821235474328e+02 9.270216974301037283e+01 1.080908829522043533e+02 1.075274523937529381e+02
8.780166326275016786e+01 1.164006759492161507e+02 9.095299722333766113e+01 9.851809196273872260e+01 1.043085531902787864e+02 9.137865481215496288e+01
9.775630876895948518e+01 8.494287783412585213e+01 9.385874530334886856e+01 1.098371856969165634e+02 1.049877131626570588e+02 1.106878586963493802e+02
1.020981513430894836e+02 1.033363925004563555e+02 9.259883749693659638e+01 1.133214233681250533e+02 1.118293698076275575e+02 8.521013366066905803e+01
1.045190509123285807e+02 8.929418192301987744e+01 9.393120252366935574e+01 1.004526538666258944e+02 1.084901730187040130e+02 8.238404598629240638e+01
1.011329455191056468e+02 9.788248877802276127e+01 1.105994354729606073e+02 1.083401065328290116e+02 1.112590553449212791e+02 7.639513890293058296e+01
9.437688839387234907e+01 9.018806220717407029e+01 1.014294064721173072e+02 9.243241208681092758e+01 8.886673715360198855e+01 7.637630025754000940e+01
8.930740647368087082e+01 1.045284193257203640e+02 1.080614079616444343e+02 9.015233207921939140e+01 9.480673073977237664e+01 1.149354354225816337e+02
8.642147658019743517e+01 9.331033380823338064e+01 1.080513040869420820e+02 9.612485808461772763e+01 1.025229798397764682e+02 1.014940901919172660e+02
1.046575071254977018e+02 1.012381444210666643e+02 1.005286261593842028e+02 9.371824056373166911e+01 9.476846254493192134e+01 1.125365634734337732e+02
9.166829607151187531e+01 1.008070304636516994e+02 1.111516919399140733e+02 9.312234576146539666e+01 8.601843560008126133e+01 1.038816310409381884e+02
1.025510764799046513e+02 1.006630710189440094e+02 8.475406662015235781e+01 8.396482406757175454e+01 1.193125079664601458e+02 9.885956027904759935e+01
9.692853031063934566e+01 9.393192213741464514e+01 1.146020404521995601e+02 9.015229323447191234e+01 1.211288329042519649e+02 9.883571486552710894e+01
1.052026720751748172e+02 9.409356309642888050e+01 9.668391748562792998e+01 9.132966076268547795e+01 7.251282848069544684e+01 1.016523108101756634e+02
9.163766291073895331e+01 9.344520588692319052e+01 9.606963096559528026e+01 9.466694110230304204e+01 7.428504842329377311e+01 9.962240209603807273e+01
1.141726579953045757e+02 1.064929375823775644e+02 9.794968859065944855e+01 9.530047529712869903e+01 7.409744965068856004e+01 9.890423859282816466e+01
8.841984123548724028e+01 9.209278184831731551e+01 7.957256350117900467e+01 9.623790147356757529e+01 8.078050931653721989e+01 8.209601460796929473e+01
1.020422997875389228e+02 8.297302011193602311e+01 1.123358711579816713e+02 1.005551122888213627e+02 1.043433739302151935e+02 9.746771783757827734e+01
9.583911575005237182e+01 8.054962032245643400e+01 1.040852988113518620e+02 9.330071411694552808e+01 1.020359191070873806e+02 8.974426738406165782e+01
9.812718114311785200e+01 1.041240944880886872e+02 1.008939994355522174e+02 9.199862278293556983e+01 1.067809634461091974e+02 1.101168155996670919e+02
1.203513328207517361e+02 1.062848103584253323e+02 9.538499326701371217e+01 1.034847386944309022e+02 8.957438642265077533e+01 9.816562655498782419e+01
1.151693343717208080e+02 1.142487362573196492e+02 9.791963727916501625e+01 9.946238704657665153e+01 8.966730903892397464e+01 1.044603794132383996e+02
8.955594722180909173e+01 1.188414081821917421e+02 1.070162589724010331e+02 9.245064181928975700e+01 1.067130147292204185e+02 1.172168461835811542e+02
1.186323828760674957e+02 1.242786386660113038e+02 1.089621947651642984e+02 9.953562882101897458e+01 1.005427413783784374e+02 9.961030175275519127e+01
1.186016522066094581e+02 1.020191456076844787e+02 8.486436497124486777e+01 9.684061906246861895e+01 1.042376973542170902e+02 9.740177589857800911e+01
8.493357925389614138e+01 1.098030428319294174e+02 8.971061710860711003e+01 9.228026088366108581e+01 1.014294233387621773e+02 9.421845495077300825e+01
9.343625637366852743e+01 8.509729761776625878e+01 1.071894078339364285e+02 1.007945370077634948e+02 1.027085155354880186e+02 9.132333364743996640e+01
1.042521192803857559e+02 1.035716972500569284e+02 1.070283634291438517e+02 1.086407629601464606e+02 9.365022583640765674e+01 9.832704844950032452e+01
1.139900432332889153e+02 9.118589446186292946e+01 8.637278463597888845e+01 1.104040551578306548e+02 9.942094565845125942e+01 9.330546497016437968e+01
1.032338787156952549e+02 1.097597427664428409e+02 9.024237126549145671e+01 9.391323311456535805e+01 1.090609322410511481e+02 9.337233425888400973e+01
9.114133571944846324e+01 1.120408295760539374e+02 1.103580275370883186e+02 1.053764762853932240e+02 1.005928207839894526e+02 9.625991396662956845e+01
9.603343536600301888e+01 1.172930615931007878e+02 1.079358199093708919e+02 1.032746378378740530e+02 1.019064202071350849e+02 9.648824170984498494e+01
8.126758024121573953e+01 9.929503781889101788e+01 9.398765095250328727e+01 1.024903266194602622e+02 1.096461182204762963e+02 9.629364462617810716e+01
8.847556320836181953e+01 1.172306362470419572e+02 1.103688428093431071e+02 9.867356033656096770e+01 1.007479701382997206e+02 1.049954063304107166e+02
1.250340905026253751e+02 1.136136751154634226e+02 1.013777356941289725e+02 9.423025360868095390e+01 1.025060936318354123e+02 8.946732302379989221e+01
1.262571836151687847e+02 9.511512916883951618e+01 1.010086089153103757e+02 1.011819596311199945e+02 1.012678405603491001e+02 9.110307230286477420e+01
8.499886347769404438e+01 1.087434264396931951e+02 1.003651992380360412e+02 1.095045670537598994e+02 9.306070538174654416e+01 9.379016265239638983e+01
9.457843829398424873e+01 8.564086664332408816e+01 8.616159670514656455e+01 1.066018881322769971e+02 8.594673549341317198e+01 9.256609706180562114e+01
8.727192222160770996e+01 9.230175563820245088e+01 8.739742151838200357e+01 1.063940759003932044e+02 1.021809127780809661e+02 1.049422492118948469e+02
1.050116613360747948e+02 1.143829619379399389e+02 8.370374367672707194e+01 1.082565951425869173e+02 9.634025978684181268e+01 9.635857573315057323e+01
1.069723872039216701e+02 1.039905155289737877e+02 1.162724240205238004e+02 1.059559732940375056e+02 1.023986844770319919e+02 1.008755798690758496e+02
1.052203385259188906e+02 1.054121127507497135e+02 1.040463866351887816e+02 9.351935166795387033e+01 1.028041977440344112e+02 1.065777186297378876e+02
1.009038042929041410e+02 9.444728317188697986e+01 9.401463449450987753e+01 1.065481747541539903e+02 8.584511266319532297e+01 9.571242097131400328e+01
1.035137187448809328e+02 8.865304806787351311e+01 1.001063958189088225e+02 1.127817634922961361e+02 1.079227773907875587e+02 8.785393927587739427e+01
1.022294859690197768e+02 1.058113913330070091e+02 1.038246213678913819e+02 9.053023484217951022e+01 9.717871946839323982e+01 9.415953001996061289e+01
1.055013293709939859e+02 1.104700327360005474e+02 9.988818039204481636e+01 8.575375587400365873e+01 9.264347102252115462e+01 1.057784412305780961e+02
1.125855769728865994e+02 1.033757727380034055e+02 1.016361299326621861e+02 1.183792570418738705e+02 9.543128834492995338e+01 8.928000940124485396e+01
1.198433832163999284e+02 1.150320940884201661e+02 1.035318907429811475e+02 8.893942382866637786e+01 9.054925042789568579e+01 8.996492050539846730e+01
8.662732268482615439e+01 9.182089259278426141e+01 1.117449554023756093e+02 9.252074527641720181e+01 1.082799921764127475e+02 9.671410548125352591e+01
9.036407644635632153e+01 9.158715564287280131e+01 1.086808415726319055e+02 1.156035997274357783e+02 1.070124597126949908e+02 9.568942973577331657e+01
1.071277014379418944e+02 9.088019094370892503e+01 1.137633560969929363e+02 1.224407494791936699e+02 9.976855198838731553e+01 1.035698147417247128e+02
9.321951898732470454e+01 9.994585644578772587e+01 1.142133028306638778e+02 8.373059773279479145e+01 1.152410032217095193e+02 1.014059588264212266e+02
9.981091982683332731e+01 8.981065186688658741e+01 1.190668996882690891e+02 8.785212753898690607e+01 8.557026623488961548e+01 1.210010214585250594e+02
1.013944036523062664e+02 8.983251833930521002e+01 1.133691231283766001e+02 9.038783062831178938e+01 7.798374917222758995e+01 7.878326319952492440e+01
1.005245477673528285e+02 8.837533067148638111e+01 1.101665325348042188e+02 1.006689218916408493e+02 8.454653512301744911e+01 1.158802201929240141e+02
1.117779838923649578e+02 8.894758949935568637e+01 9.911190189254368477e+01 1.117787480651914649e+02 1.049708027216386910e+02 1.029135972629391773e+02
1.143954834971261221e+02 8.437503014859976247e+01 1.042459335812819319e+02 1.005050475360826567e+02 1.096098419611340518e+02 1.136516323149446350e+02
