log.prior	log.likelihood	log.likelihood.test.set
-1.373785268411208790e+03 -1.211527823381751205e+03 -9.388928075353862823e+01
-1.394612768109474928e+03 -1.213221825215656509e+03 -9.290134054775441541e+01
-1.392826020152347155e+03 -1.212046123648206958e+03 -9.220203905974727832e+01
-1.378361147571189576e+03 -1.214370402106237634e+03 -9.140787675634834386e+01
-1.376739370292268859e+03 -1.205432147404027774e+03 -9.043900557965085341e+01
-1.370037041696394226e+03 -1.216579666220463196e+03 -9.095974252305933305e+01
-1.392316742679355002e+03 -1.211743734226556398e+03 -9.113622999199407104e+01
-1.386243938161599090e+03 -1.208457696730889666e+03 -9.056144835568619555e+01
-1.373748158639187977e+03 -1.220147556102775525e+03 -9.083523795902425491e+01
-1.399116904214166880e+03 -1.206728304031304788e+03 -9.058024159440668654e+01
-1.386729220213252802e+03 -1.213737474296395931e+03 -9.028558505298983050e+01
-1.404902665342565797e+03 -1.203395741887491113e+03 -9.015287058676733523e+01
-1.389494152178369859e+03 -1.211540956318194958e+03 -9.049870430463664661e+01
-1.388319240626619376e+03 -1.217261808638394768e+03 -9.247034860881552731e+01
-1.395128436350731818e+03 -1.205773124088472969e+03 -9.045136544601831474e+01
-1.405434919528901901e+03 -1.208940026554196493e+03 -9.065191586858179562e+01
-1.394852332251831285e+03 -1.208390039453697455e+03 -9.084618049199332290e+01
-1.399725418899814485e+03 -1.206843260004066678e+03 -9.151579145663924919e+01
-1.423993473954344381e+03 -1.204158003716384201e+03 -9.147202205114655271e+01
-1.441240156320833876e+03 -1.201905333881185470e+03 -9.272663672678993407e+01
-1.430663635724180040e+03 -1.200607279810143609e+03 -9.254666366545069423e+01
-1.419687948694449688e+03 -1.208976203872171936e+03 -9.410148793429121383e+01
-1.431151830382287471e+03 -1.206583375359942920e+03 -9.393210529138949028e+01
-1.424088371994011823e+03 -1.203395540392667044e+03 -9.399617724307364597e+01
-1.426262919625800805e+03 -1.201383676830330387e+03 -9.228723846528109220e+01
-1.419423741949848136e+03 -1.201290246567731856e+03 -9.159571216543216110e+01
-1.420195911312946464e+03 -1.206629226331686141e+03 -9.151993127946940376e+01
-1.423600012410284080e+03 -1.212749451061377840e+03 -9.475567283594733681e+01
-1.425781481619564147e+03 -1.206372859491332747e+03 -9.194997489038740923e+01
-1.429412514738565278e+03 -1.211306398022018129e+03 -9.164012284641930250e+01
-1.428260223374990119e+03 -1.214332795666125776e+03 -9.276692938081893658e+01
-1.423780342418629061e+03 -1.210153554802237977e+03 -9.274964187925382930e+01
-1.410495332763125816e+03 -1.213422669122670641e+03 -9.384743123160751566e+01
-1.394467202327164841e+03 -1.216400388144021917e+03 -9.169784244875356194e+01
-1.396854418646225440e+03 -1.211441977096080564e+03 -8.979548329102803450e+01
-1.389484323509621390e+03 -1.215222291013905988e+03 -9.173297915282486770e+01
-1.390579608132179374e+03 -1.204957992302423690e+03 -8.949126106950862436e+01
-1.378348969015772582e+03 -1.205319209244769354e+03 -8.939315254869913474e+01
-1.373968044088795750e+03 -1.204508905608680607e+03 -8.942472579627309415e+01
-1.371461073374287935e+03 -1.204618468185346046e+03 -9.010113392686312750e+01
-1.367287492973720646e+03 -1.207407425204726451e+03 -9.054168180436252555e+01
-1.373063543716011054e+03 -1.207132386586407620e+03 -8.965882478995450811e+01
-1.389230843765298232e+03 -1.209287848307076047e+03 -8.959136280928944984e+01
-1.376700561469816193e+03 -1.216555367514573391e+03 -8.969927053455882060e+01
-1.393588859315095533e+03 -1.211444497032174468e+03 -9.109766771128857954e+01
-1.381361700788341068e+03 -1.209494279388203722e+03 -9.078087346585380146e+01
-1.383117697360159809e+03 -1.208298972697628187e+03 -9.142145090909878036e+01
-1.368315096412886305e+03 -1.217139462079754139e+03 -9.273818665364672142e+01
-1.380070240097800934e+03 -1.212983176265557631e+03 -9.243313429033037210e+01
-1.382398411169226847e+03 -1.208905928351347939e+03 -9.235488841473264188e+01
-1.355183165063965362e+03 -1.209825686228304448e+03 -9.321251616382662064e+01
-1.357983798938159453e+03 -1.209898172530483407e+03 -9.234542562390151943e+01
-1.375416564316501990e+03 -1.209864990635216827e+03 -9.288713055854330491e+01
-1.373915642380603231e+03 -1.207119876168356086e+03 -9.126094805709820434e+01
-1.359018670189797604e+03 -1.212200806170049873e+03 -9.103198730313374654e+01
-1.360513461224431921e+03 -1.212322343696865119e+03 -9.211154484472280046e+01
-1.363299853683214906e+03 -1.209110080260196355e+03 -9.148189189866207016e+01
-1.366028743353963819e+03 -1.213301000793919229e+03 -9.187301042819953523e+01
-1.374315244421215993e+03 -1.214135133249333194e+03 -9.141330642114499483e+01
-1.379733757653492603e+03 -1.207910251143870482e+03 -9.064206124915148166e+01
-1.397189523212373160e+03 -1.210186533666944342e+03 -9.047127584395875033e+01
-1.396123683267042907e+03 -1.203159312727027782e+03 -8.980570167508477653e+01
-1.396447668172019576e+03 -1.206552280902511711e+03 -9.020344043885231144e+01
-1.411643832756449910e+03 -1.202258760606521037e+03 -9.090275800055795230e+01
-1.413839318200487014e+03 -1.208213121921183983e+03 -9.202874230354368024e+01
-1.396473198764923836e+03 -1.206450702998596398e+03 -9.201248335852724836e+01
-1.398382159811289512e+03 -1.209200856676175817e+03 -9.180110630477790323e+01
-1.419096872547706198e+03 -1.205631583161470871e+03 -9.266369833671018341e+01
-1.409308907472057172e+03 -1.203301563099885470e+03 -9.171521753977521030e+01
-1.410297586739889312e+03 -1.198604534848286448e+03 -9.236041784895238038e+01
-1.403335602603374809e+03 -1.207955235483344040e+03 -9.237555169257424836e+01
-1.394130479407579287e+03 -1.216935765991257085e+03 -9.412725310381949839e+01
-1.396498228768400622e+03 -1.232292641391867846e+03 -9.436302727365077203e+01
-1.395869851164096872e+03 -1.220968971354706127e+03 -9.176067335421572579e+01
-1.400479806718056352e+03 -1.216839452804556004e+03 -9.080860039210926971e+01
-1.402900130912805935e+03 -1.214687473768467726e+03 -9.070291702835115188e+01
-1.424702289195555068e+03 -1.213928298219163707e+03 -9.109800745946589018e+01
-1.411289701017307607e+03 -1.212431234712643800e+03 -9.073490128804880328e+01
-1.398571687995111233e+03 -1.209574644641164923e+03 -9.105638939920271469e+01
-1.409020087736285177e+03 -1.208997923897443570e+03 -9.067557530814141842e+01
-1.420857706936313207e+03 -1.210801354452632268e+03 -9.114741287051808172e+01
-1.418621012483517006e+03 -1.208702946447613613e+03 -9.089856018209690092e+01
-1.416517217855220906e+03 -1.209773603397043871e+03 -9.211412634752045392e+01
-1.414872852482493499e+03 -1.212131289340805779e+03 -9.197635801675025391e+01
-1.423891984540283374e+03 -1.207440627207301986e+03 -9.181127526941497763e+01
-1.419582338926893954e+03 -1.205045858911212235e+03 -9.249790275107864090e+01
-1.411773099016235619e+03 -1.207648723460018118e+03 -9.391554181901699394e+01
-1.420319189882600540e+03 -1.210226805078162897e+03 -9.322290343003737689e+01
-1.434175230540266966e+03 -1.210504428407577052e+03 -9.176322265469579520e+01
-1.437264979196917466e+03 -1.198551046057849362e+03 -9.278535557782788601e+01
-1.419511334974161628e+03 -1.207458596682654388e+03 -9.169954101260830726e+01
-1.423914644080943162e+03 -1.205630144243626546e+03 -9.195769713604255458e+01
-1.421073454525365378e+03 -1.201436728418214898e+03 -9.288353565125279943e+01
-1.412259113416065702e+03 -1.212256606012936572e+03 -9.376926060140610275e+01
-1.416079925941622832e+03 -1.214084496818533125e+03 -9.378739407704421183e+01
-1.415981102395170637e+03 -1.213756207353707396e+03 -9.676159325343775208e+01
-1.418562068867919606e+03 -1.213349297464628535e+03 -9.656213418069486920e+01
-1.413633302799642706e+03 -1.213208127826552754e+03 -9.610320661391074282e+01
-1.413565901610174478e+03 -1.209145728841680921e+03 -9.496409568660689615e+01
-1.407650954683160990e+03 -1.208732339747489732e+03 -9.526568004310450988e+01
-1.414296671306535927e+03 -1.203052082704470195e+03 -9.449564047609402451e+01
-1.408059315834140762e+03 -1.210438534223275383e+03 -9.554267298440450418e+01
-1.399279695206710812e+03 -1.206068654994383678e+03 -9.247124467427138939e+01
-1.376511080641511626e+03 -1.213056485127320229e+03 -9.254872485967374018e+01
-1.388627817918282290e+03 -1.211458203147822360e+03 -9.347653079657160902e+01
-1.399929585196586686e+03 -1.209330606665295591e+03 -9.293002713410550086e+01
-1.402282026382737968e+03 -1.205260537520580556e+03 -9.285620850078106514e+01
-1.397897246139614253e+03 -1.201041041003534701e+03 -9.236643022726488539e+01
-1.397377818888540105e+03 -1.203263314181881469e+03 -9.074229962522304049e+01
-1.392707406087885374e+03 -1.206141232804739047e+03 -9.148696065926858978e+01
-1.392152463288271747e+03 -1.209092635022720515e+03 -9.310582167565425493e+01
-1.396924965116537578e+03 -1.208268307657459673e+03 -9.363151382537293443e+01
-1.389922549159465234e+03 -1.207950635228157807e+03 -9.248047556419780335e+01
-1.394510677276228080e+03 -1.208696346483989601e+03 -9.337257398807253139e+01
-1.395588742938263522e+03 -1.210166362864088114e+03 -9.378762767873809025e+01
-1.379545662944242622e+03 -1.216824420873577992e+03 -9.477340270066693506e+01
-1.376349500383470968e+03 -1.204303836012618603e+03 -9.151346886184825280e+01
-1.364112237693261704e+03 -1.211920971318255624e+03 -9.481488417140781166e+01
-1.368737036796506573e+03 -1.204173907816797282e+03 -9.166230148961841451e+01
-1.364401367604299594e+03 -1.202238924049091111e+03 -9.160467595678827024e+01
-1.345389769945035368e+03 -1.206050894313714707e+03 -9.166976019299229961e+01
-1.365253235380560227e+03 -1.201945677052544625e+03 -9.069015611911436281e+01
-1.376427749392959186e+03 -1.200249138414152185e+03 -9.075174390821024417e+01
-1.379627614568389845e+03 -1.204875406630648740e+03 -9.144980742011401276e+01
-1.378391901984089372e+03 -1.200248401589424702e+03 -9.096610566256711650e+01
-1.366207620300435565e+03 -1.202432680847048459e+03 -9.214192381904871354e+01
-1.366935510895981906e+03 -1.207014592094019008e+03 -9.282567538197173462e+01
-1.381259820521373967e+03 -1.199314442623604009e+03 -9.301271255516724068e+01
-1.362327607809219444e+03 -1.203649205715312974e+03 -9.370129492609393651e+01
-1.369220332579412570e+03 -1.203231691282333941e+03 -9.426537485509035719e+01
